[0;32mI (56192) app_main: t=1605354915 178142000[0m
[0;32mI (57182) app_main: t=1605354916 168142000[0m
RX 57793359 272 270 b 1
RX 57793677 318 315 b 0
RX 57793952 275 275 b 1
RX 57795233 1281 1280 a 0
RX 57795508 275 275 b 1
RX 57795773 265 265 b 0
RX 57796049 276 275 b 1
RX 57796314 265 265 b 0
RX 57796589 275 275 b 1
RX 57797864 1275 1275 a 0
RX 57798145 281 280 b 1
RX 57798407 262 260 b 0
RX 57798684 277 275 b 1
RX 57799971 1287 1285 a 0
RX 57800244 273 270 b 1
RX 57800509 265 265 b 0
RX 57800782 273 270 b 1
RX 57802115 1333 1330 a 0
RX 57802394 279 275 b 1
RX 57803671 1277 1275 a 0
RX 57803945 274 270 b 1
RX 57804215 270 270 b 0
