[0;32mI (79022) app_main: t=1605354938 8142000[0m
[0;32mI (80022) app_main: t=1605354939 8142000[0m
RX 80874286 1279 1275 a 0
RX 80874568 282 280 b 1
RX 80874873 305 305 b 0
RX 80875159 286 285 b 1
RX 80876430 1271 1270 a 0
RX 80876716 286 285 b 1
RX 80876971 255 255 b 0
RX 80877257 286 285 b 1
RX 80877512 255 255 b 0
RX 80877797 285 285 b 1
RX 80879068 1271 1270 a 0
RX 80879353 285 285 b 1
RX 80879609 256 255 b 0
RX 80879893 284 280 b 1
RX 80881168 1275 1275 a 0
RX 80881455 287 285 b 1
RX 80881707 252 250 b 0
RX 80881992 285 285 b 1
RX 80883316 1324 1320 a 0
RX 80883601 285 285 b 1
RX 80884872 1271 1270 a 0
RX 80885156 284 280 b 1
RX 80885413 257 255 b 0
RX 80885701 288 285 b 1
RX 80886969 1268 1265 a 0
RX 80887254 285 285 b 1
RX 80887512 258 255 b 0
RX 80887798 286 285 b 1
RX 80888053 255 255 b 0
RX 80888335 282 280 b 1
RX 80889613 1278 1275 a 0
RX 80889894 281 280 b 1
RX 80891165 1271 1270 a 0
RX 80891450 285 285 b 1
RX 80891700 250 250 b 0
RX 80891937 237 235 b 1
RX 80902405 10468 10465 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1 ok 0
RX 80902687 282 280 b 1
RX 80905380 2693 2690 s 0
RX 80905665 285 285 b 1
RX 80906933 1268 1265 a 0
RX 80907223 290 290 b 1
RX 80907476 253 250 b 0
RX 80907764 288 285 b 1
RX 80909032 1268 1265 a 0
RX 80909320 288 285 b 1
RX 80909572 252 250 b 0
RX 80909860 288 285 b 1
RX 80910114 254 250 b 0
RX 80910399 285 285 b 1
RX 80911671 1272 1270 a 0
RX 80911957 286 285 b 1
RX 80912211 254 250 b 0
RX 80912496 285 285 b 1
RX 80913823 1327 1325 a 0
RX 80914108 285 285 b 1
RX 80915377 1269 1265 a 0
RX 80915663 286 285 b 1
RX 80915914 251 250 b 0
RX 80916201 287 285 b 1
RX 80917471 1270 1270 a 0
RX 80917759 288 285 b 1
RX 80918014 255 255 b 0
RX 80918302 288 285 b 1
RX 80919571 1269 1265 a 0
RX 80919857 286 285 b 1
RX 80920112 255 255 b 0
RX 80920402 290 290 b 1
RX 80920652 250 250 b 0
RX 80920941 289 285 b 1
RX 80922263 1322 1320 a 0
RX 80922548 285 285 b 1
RX 80923819 1271 1270 a 0
RX 80924104 285 285 b 1
RX 80924359 255 255 b 0
RX 80924648 289 285 b 1
RX 80925915 1267 1265 a 0
RX 80926203 288 285 b 1
RX 80926454 251 250 b 0
RX 80926742 288 285 b 1
RX 80928012 1270 1270 a 0
RX 80928296 284 280 b 1
RX 80928552 256 255 b 0
RX 80928841 289 285 b 1
RX 80929091 250 250 b 0
RX 80929379 288 285 b 1
RX 80930706 1327 1325 a 0
RX 80930994 288 285 b 1
RX 80932262 1268 1265 a 0
RX 80932548 286 285 b 1
RX 80932803 255 255 b 0
RX 80933089 286 285 b 1
RX 80933344 255 255 b 0
RX 80933629 285 285 b 1
RX 80934901 1272 1270 a 0
RX 80935185 284 280 b 1
RX 80936460 1275 1275 a 0
RX 80936745 285 285 b 1
RX 80936996 251 250 b 0
RX 80937280 284 280 b 1
RX 80938553 1273 1270 a 0
RX 80938837 284 280 b 1
RX 80939145 308 305 b 0
RX 80939431 286 285 b 1
RX 80940701 1270 1270 a 0
RX 80940986 285 285 b 1
RX 80941242 256 255 b 0
RX 80941530 288 285 b 1
RX 80942799 1269 1265 a 0
RX 80943086 287 285 b 1
RX 80943338 252 250 b 0
RX 80943626 288 285 b 1
RX 80944889 1263 1260 a 0
