[0;32mI (442926) app_main: t=1605635635 16080000[0m
[0;32mI (443916) app_main: t=1605635636 6080000[0m
[0;32mI (444916) app_main: t=1605635637 6080000[0m
RX 445570254 256 255 b 0
RX 445570545 291 290 b 1
RX 445571821 1276 1275 a 0
RX 445572110 289 285 b 1
RX 445572369 259 255 b 0
RX 445572659 290 290 b 1
RX 445573936 1277 1275 a 0
RX 445574224 288 285 b 1
RX 445574479 255 255 b 0
RX 445574770 291 290 b 1
RX 445576046 1276 1275 a 0
RX 445576338 292 290 b 1
RX 445576643 305 305 b 0
RX 445576935 292 290 b 1
RX 445578209 1274 1270 a 0
RX 445578501 292 290 b 1
RX 445578756 255 255 b 0
RX 445579047 291 290 b 1
RX 445579302 255 255 b 0
RX 445579594 292 290 b 1
RX 445580874 1280 1280 a 0
RX 445581162 288 285 b 1
RX 445582437 1275 1275 a 0
RX 445582727 290 290 b 1
RX 445582981 254 250 b 0
RX 445583273 292 290 b 1
RX 445584553 1280 1280 a 0
RX 445584842 289 285 b 1
RX 445585149 307 305 b 0
RX 445585439 290 290 b 1
RX 445586715 1276 1275 a 0
RX 445587004 289 285 b 1
RX 445587262 258 255 b 0
RX 445587551 289 285 b 1
RX 445587807 256 255 b 0
RX 445588098 291 290 b 1
RX 445589374 1276 1275 a 0
RX 445589664 290 290 b 1
RX 445589919 255 255 b 0
RX 445590209 290 290 b 1
RX 445591489 1280 1280 a 0
RX 445591779 290 290 b 1
RX 445593053 1274 1270 a 0
RX 445593344 291 290 b 1
RX 445593651 307 305 b 0
RX 445593943 292 290 b 1
RX 445595216 1273 1270 a 0
RX 445595506 290 290 b 1
RX 445595761 255 255 b 0
RX 445596054 293 290 b 1
RX 445597332 1278 1275 a 0
RX 445597622 290 290 b 1
RX 445597876 254 250 b 0
RX 445598168 292 290 b 1
RX 445599444 1276 1275 a 0
RX 445599732 288 285 b 1
RX 445599987 255 255 b 0
RX 445600278 291 290 b 1
RX 445601560 1282 1280 a 0
RX 445601849 289 285 b 1
RX 445602077 228 225 b 0
RX 445602340 263 260 b 1
[0;32mI (447176) app_main: t=1605635639 275836000[0m
RX 447330594 1728254 1728250 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok S35313351335151333333513353133333
RX 447330901 307 305 b 1
RX 447332163 1262 1260 a 0
RX 447332458 295 295 b 1
RX 447332708 250 250 b 0
RX 447332984 276 275 b 1
RX 447334278 1294 1290 a 0
RX 447334564 286 285 b 1
RX 447334819 255 255 b 0
RX 447335080 261 260 b 1
RX 447335345 265 265 b 0
RX 447335620 275 275 b 1
RX 447336908 1288 1285 a 0
RX 447337199 291 290 b 1
RX 447337450 251 250 b 0
RX 447337727 277 275 b 1
RX 447339071 1344 1340 a 0
RX 447339364 293 290 b 1
RX 447340636 1272 1270 a 0
RX 447340928 292 290 b 1
RX 447341180 252 250 b 0
RX 447341453 273 270 b 1
RX 447342744 1291 1290 a 0
RX 447343035 291 290 b 1
RX 447343292 257 255 b 0
RX 447343570 278 275 b 1
RX 447344856 1286 1285 a 0
RX 447345152 296 295 b 1
RX 447345402 250 250 b 0
RX 447345680 278 275 b 1
RX 447345943 263 260 b 0
RX 447346218 275 275 b 1
RX 447347558 1340 1340 a 0
RX 447347852 294 290 b 1
RX 447349127 1275 1275 a 0
RX 447349428 301 300 b 1
RX 447349674 246 245 b 0
RX 447349959 285 285 b 1
RX 447351239 1280 1280 a 0
RX 447351539 300 300 b 1
RX 447351783 244 240 b 0
RX 447352068 285 285 b 1
RX 447353348 1280 1280 a 0
RX 447353655 307 305 b 1
RX 447353901 246 245 b 0
RX 447354168 267 265 b 1
RX 447354442 274 270 b 0
RX 447354727 285 285 b 1
RX 447356065 1338 1335 a 0
RX 447356368 303 300 b 1
RX 447357636 1268 1265 a 0
RX 447357940 304 300 b 1
