[0;32mI (19152) app_main: t=1605354878 138142000[0m
[0;32mI (20142) app_main: t=1605354879 128142000[0m
[0;32mI (21132) app_main: t=1605354880 118142000[0m
RX 21300961 292 290 b 1
RX 21302237 1276 1275 a 0
RX 21302529 292 290 b 1
RX 21302752 223 220 b 0
RX 21303017 265 265 b 1
RX 21313501 10484 10480 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok 0
RX 21313790 289 285 b 1
RX 21316481 2691 2690 s 0
RX 21316775 294 290 b 1
RX 21318040 1265 1265 a 0
RX 21318334 294 290 b 1
RX 21318579 245 245 b 0
RX 21318875 296 295 b 1
RX 21320143 1268 1265 a 0
RX 21320436 293 290 b 1
RX 21320683 247 245 b 0
RX 21320979 296 295 b 1
RX 21321227 248 245 b 0
RX 21321522 295 295 b 1
RX 21322796 1274 1270 a 0
RX 21323088 292 290 b 1
RX 21323333 245 245 b 0
RX 21323628 295 295 b 1
RX 21324948 1320 1320 a 0
RX 21325241 293 290 b 1
RX 21326508 1267 1265 a 0
RX 21326801 293 290 b 1
RX 21327053 252 250 b 0
RX 21327348 295 295 b 1
RX 21328616 1268 1265 a 0
RX 21328909 293 290 b 1
RX 21329155 246 245 b 0
RX 21329450 295 295 b 1
RX 21330718 1268 1265 a 0
RX 21331011 293 290 b 1
RX 21331260 249 245 b 0
RX 21331556 296 295 b 1
RX 21331803 247 245 b 0
RX 21332099 296 295 b 1
RX 21333423 1324 1320 a 0
RX 21333716 293 290 b 1
RX 21334983 1267 1265 a 0
RX 21335275 292 290 b 1
RX 21335522 247 245 b 0
RX 21335816 294 290 b 1
RX 21337085 1269 1265 a 0
RX 21337378 293 290 b 1
RX 21337631 253 250 b 0
RX 21337925 294 290 b 1
RX 21339193 1268 1265 a 0
RX 21339484 291 290 b 1
RX 21339735 251 250 b 0
RX 21340029 294 290 b 1
RX 21340278 249 245 b 0
RX 21340573 295 295 b 1
RX 21341894 1321 1320 a 0
RX 21342185 291 290 b 1
RX 21343454 1269 1265 a 0
RX 21343745 291 290 b 1
RX 21343995 250 250 b 0
RX 21344289 294 290 b 1
RX 21344538 249 245 b 0
RX 21344832 294 290 b 1
RX 21346106 1274 1270 a 0
RX 21346396 290 290 b 1
RX 21347665 1269 1265 a 0
RX 21347957 292 290 b 1
RX 21348205 248 245 b 0
RX 21348500 295 295 b 1
RX 21349774 1274 1270 a 0
RX 21350065 291 290 b 1
RX 21350366 301 300 b 0
RX 21350659 293 290 b 1
RX 21351928 1269 1265 a 0
RX 21352219 291 290 b 1
RX 21352468 249 245 b 0
RX 21352762 294 290 b 1
RX 21354031 1269 1265 a 0
RX 21354322 291 290 b 1
RX 21354577 255 255 b 0
RX 21354871 294 290 b 1
RX 21356139 1268 1265 a 0
RX 21356430 291 290 b 1
RX 21356679 249 245 b 0
RX 21356972 293 290 b 1
RX 21358243 1271 1270 a 0
RX 21358534 291 290 b 1
RX 21358836 302 300 b 0
RX 21359127 291 290 b 1
RX 21360399 1272 1270 a 0
RX 21360690 291 290 b 1
RX 21360941 251 250 b 0
RX 21361233 292 290 b 1
RX 21361484 251 250 b 0
RX 21361777 293 290 b 1
RX 21363052 1275 1275 a 0
RX 21363342 290 290 b 1
RX 21364613 1271 1270 a 0
RX 21364902 289 285 b 1
RX 21365152 250 250 b 0
RX 21365444 292 290 b 1
RX 21366721 1277 1275 a 0
RX 21367011 290 290 b 1
RX 21367313 302 300 b 0
RX 21367604 291 290 b 1
RX 21368876 1272 1270 a 0
RX 21369166 290 290 b 1
RX 21369417 251 250 b 0
RX 21369710 293 290 b 1
RX 21369960 250 250 b 0
RX 21370254 294 290 b 1
RX 21371525 1271 1270 a 0
RX 21371815 290 290 b 1
RX 21372065 250 250 b 0
RX 21372357 292 290 b 1
RX 21373632 1275 1275 a 0
RX 21373921 289 285 b 1
RX 21375191 1270 1270 a 0
RX 21375482 291 290 b 1
RX 21375786 304 300 b 0
RX 21376077 291 290 b 1
RX 21377348 1271 1270 a 0
RX 21377639 291 290 b 1
RX 21377888 249 245 b 0
RX 21378180 292 290 b 1
RX 21379458 1278 1275 a 0
RX 21379747 289 285 b 1
RX 21379996 249 245 b 0
RX 21380288 292 290 b 1
RX 21381560 1272 1270 a 0
RX 21381850 290 290 b 1
RX 21382101 251 250 b 0
RX 21382392 291 290 b 1
RX 21383669 1277 1275 a 0
RX 21383959 290 290 b 1
RX 21384183 224 220 b 0
RX 21384447 264 260 b 1
RX 21394935 10488 10485 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok 0
RX 21395220 285 285 b 1
RX 21397915 2695 2695 s 0
RX 21398208 293 290 b 1
RX 21399472 1264 1260 a 0
RX 21399765 293 290 b 1
RX 21400014 249 245 b 0
RX 21400309 295 295 b 1
RX 21401576 1267 1265 a 0
RX 21401868 292 290 b 1
RX 21402118 250 250 b 0
RX 21402412 294 290 b 1
RX 21402661 249 245 b 0
RX 21402954 293 290 b 1
RX 21404229 1275 1275 a 0
RX 21404524 295 295 b 1
RX 21404769 245 245 b 0
RX 21405063 294 290 b 1
RX 21406383 1320 1320 a 0
RX 21406677 294 290 b 1
RX 21407943 1266 1265 a 0
RX 21408235 292 290 b 1
RX 21408488 253 250 b 0
RX 21408784 296 295 b 1
RX 21410050 1266 1265 a 0
RX 21410343 293 290 b 1
RX 21410592 249 245 b 0
RX 21410887 295 295 b 1
RX 21412153 1266 1265 a 0
RX 21412446 293 290 b 1
RX 21412697 251 250 b 0
RX 21412991 294 290 b 1
RX 21413240 249 245 b 0
RX 21413533 293 290 b 1
RX 21414860 1327 1325 a 0
RX 21415151 291 290 b 1
RX 21416419 1268 1265 a 0
RX 21416712 293 290 b 1
RX 21416960 248 245 b 0
RX 21417255 295 295 b 1
RX 21418522 1267 1265 a 0
RX 21418815 293 290 b 1
RX 21419069 254 250 b 0
RX 21419364 295 295 b 1
RX 21420630 1266 1265 a 0
RX 21420922 292 290 b 1
RX 21421174 252 250 b 0
